Название канала	Ед. изм.	Описание	Диапозон значений при раб. двc	Unnamed: 4	Обычные значения	Unnamed: 6	Проверить, если значения превышают
			От	До	От	До	
_Lbd1RComp	Ом	Компенсационный резистор лямбда-1			75	125	Если _Lbd1RComp = 0, перезагрузите ЭБУ
aCam1_Angle	уг. градус	Угол наклона кулачка по отношению к кривошипу	0	720	28	35	Если значения выходят за пределы допустимого, пожалуйста, свяжитесь с Autotecnica
AccX_Corr	г	Акселерометр ECU X					
AccY_Corr	г	Акселерометр ECU Y					
AccZ_Corr	г	Акселерометр ECU Z					
aSteering	град	угол наклона рулевого колеса отфильтр.					
CAN0_Diag							"0x0001: отключение шины
0x0002: пассивный режим
0x0004: предупреждение о передаче
0x0008: предупреждение о приёме"
CAN1_Diag							"0x0001: отключение шины
0x0002: пассивный режим
0x0004: предупреждение о передаче
0x0008: предупреждение о приёме"
CarSpeed	км/ч	Скорость авто					
Crank_State		Состояние синхронизации кривошипа	5	5	0	5	"В случае, если при работающем двигателе значение Crank_State не равно 5, проверьте по порядку:
1) Газораспределение двигателя (механически и/или по
значению aCam1_Angle)
1) Подключение датчиков CAM и SMOT к токопроводящему станку
2) Непрерывность работы датчиков CAM и SMOT на ткацком станке от
Подключение ЭБУ к разъему
3) Замените кулачок и/или датчик SMOT
Смотрите РАСТРОВЫЙ документ"
Dash_Button		"Bitmap data resuming all dash
button"					Обратитесь к руководству Tatuus
DashAlarm		"Bitmap data resuming all dash
alarms active"					Обратитесь к руководству Tatuus
Dbw_AutoLearn		Процедура обучения управлению дроссельной заслонкой					
DgCoil_OC		Диагностика разомкнутой цепи катушек					См. технический бюллетень Sharezone 009-22
DgCoil_SC		Диагностика короткого замыкания катушек					См. технический бюллетень Sharezone 009-22
DiagAna1		Диагностические флаги аналоговых входов 1					См. технический бюллетень Sharezone 009-22
DiagAna2		Диагностические флаги аналоговых входов 2					См. технический бюллетень Sharezone 009-22
DiagAna3		Диагностические флаги аналоговых входов 3					См. технический бюллетень Sharezone 009-22
DiagAna4		Диагностические флаги аналоговых входов 4					См. технический бюллетень Sharezone 009-22
DiagOverall							
DistanceLap	м	Расстояние круга					
EGA_Motor_Diag		Диагностический флаг двигателя EGA					"0 - OutOK
1 - OutOC
2 - OutSC
4 - OutSCGnd
8 - OutPowerFail
10 - OutOverTemp"
EGA_Motor_Enable		Флаг активации двигателя EGA					"0 – Процедура переключения на повышенную/пониженную передачу не проверена
1 – Процедура переключения на повышенную/пониженную передачу проверена"
EGA_MotorCurrent	А	Ток двигателя EGA	0	50	0	30	
EGA_MotorDuty	%	Рабочий цикл двигателя EGA	-70	70	-70	70	
EGA_ShaftPos	мм	Положение вала EGA	-0.3	0.3	-30	30	Положение вала EGA в нейтральном положении должно быть близко к 0, -30/30 мм при переключении на повышенную/пониженную передачу.
EngKillSts		Состояние остановки двигателя					См. Технический бюллетень Sharezone 009-22
EngLoad_Req	%	Запрос нагрузки двигателя	0	105	0	105	Если запрос нагрузки двигателя меньше максимального (в зависимости от tAir), выполните процедуру обучения педалей.
EngState		Состояние двигателя	2	2	0	2	См. Технический бюллетень Sharezone 009-22
Gear		"Положение передачи от -1 (задний ход) до
максимальной передачи"	-1	6	-1	6	
GearDrivelRequest		Коробка передач подготовила запрос на драйв					Запрос равен 1 при первом включении 1-й передачи
GearNeutralRequest		Коробка передач подготовила запрос на нейтралку					Запрос равен 1, когда любая передача выключена в первый раз.
GearReverseRequest		Коробка передач подготовила запрос на реверс					Запрос равен 1 при первом включении задней передачи.
Gear_ratio		Передаточное отношение					
GearDownshiftRequest		Коробка передач переключилась на пониженную			0	1	"Если при запросе водителя значение не равно 1, проверьте
 пороговое значение SWP_Ana1"
Gear State		Состояние коробки передач					См. Технический бюллетень Sharezone 009-22
GearUpRpmNext		Задайте частоту вращения для следующей передачи	0	7000			
GearUpshiftRequest		Коробка передач переключилась на повышенную	0	1			"Если при запросе водителя значение не равно 1, проверьте
 пороговое значение SWP_Ana2"
gExtAccX		"Внешняя ось акселерометра X
обработанное значение (отфильтрованное)"					
gExtAccY		"Внешняя ось акселерометра Y
обработанное значение (отфильтрованное)"					
IgnLim_Abs	об/мин	Абсолютный ограничитель мощности двигателя	6300	6300	0	6300	"В случае, если IgnLim_Abs ≠ 6300 и EngLoad_Req > 1, проверьте: 
 1) PitLimiter не активирован
 2) Условия безопасности дроссельной заслонки/педали FIA не выполняются (см. руководство по эксплуатации двигателя)"
IgnLim_Active		Активный ограничитель зажигания					См. Технический бюллетень Sharezone 009-22
InjLim_Abs	об/мин	Абсолютный ограничитель впрыска топлива в двигатель	6300	6300	0	6300	"В случае, если InjLim_Abs ≠ 6300 и EngLoad_Req > 1, проверьте: 
 1) PitLimiter не активирован
 2) Условия безопасности дроссельной заслонки/педали FIA не выполняются (см. руководство по эксплуатации двигателя)"
InjLim_Active		Активирован ограничитель впрыска					См. Технический бюллетень Sharezone 009-22
KnCorrAdv1		"Детонация окончательной компенсации опережения
зажигания цилиндра 1"	0	6	0	0	Если значения выходят за пределы нормы, пожалуйста, обратитесь в Autotecnica
KnCorrAdv2		"Детонация окончательной компенсации опережения
зажигания цилиндра 2"	0	6	0	0	Если значения выходят за пределы нормы, пожалуйста, обратитесь в Autotecnica
KnCorrAdv3		"Детонация окончательной компенсации опережения
зажигания цилиндра 3"	   	6	0	0	Если значения выходят за пределы нормы, пожалуйста, обратитесь в Autotecnica
KnCorrAdv4		"Детонация окончательной компенсации опережения
зажигания цилиндра 4"	0	6	0	0	Если значения выходят за пределы нормы, пожалуйста, обратитесь в Autotecnica
KnDiag		Диагностика датчика детонации					"0, если стратегия активна
2, если стратегия неактивна"
KnMild		Активация бита при регистрации события с умеренной интенсивностью					
KnStrong		"Активация бита при сильном ударе
зафиксирована"					
Marker		Маркер с кнопки на рулевом колесе					
pBaro	mBar	Рассчитанное значение атмосферного давления (отфильтрованное)					
pBrakeF	bar	"Расчетное значение давления в переднем тормозе
(отфильтрованное)"					
pBrakeR	bar	"Давление в заднем тормозном механизме
(отфильтрованное значение)"					
pClutch	bar	"Расчетное значение давления в сцеплении
(отфильтрованное)"					
Pedal1status		Состояние педали 1					См. Технический бюллетень Sharezone 009-22
Pedal2status		Состояние педали 2					См. Технический бюллетень Sharezone 009-22
pFuel	bar	"Уточненное значение низкого давления топлива
(отфильтрованное)"	2.5	5			"В случае pFuel<3 при частоте вращения >100 об/мин проверьте/сделайте следующее: 
 1) Регулятор давления топлива
 2) Подключение датчика давления топлива к жгуту проводов двигателя
 3) Подключение топливного насоса к жгуту проводов автомобиля
 4) Топливный насос
 5) Проверьте все соединения и состояние топливопровода
 6) Замените Powerbox"
PIT_Active							См. Технический бюллетень Sharezone 009-22
PIT_State		Пит лимитер в активном состоянии					См. Технический бюллетень Sharezone 009-22
pOil	bar	"Расчетное значение давления моторного масла
(отфильтрованного)"	3	5			В случае падения уровня масла <3 при частоте вращения >3000 проверьте уровень масла
PSD_Command		CAN команда для PowerBox					"0 — топливный насос
3 — двигатель
5 — катушки
6 — впрыск
7 — стартер"
PSD_HP1_FUEL_PUMP	А						Обратитесь к руководству Tatuus
PSD_HP2_STARTER1	А						Обратитесь к руководству Tatuus
PSD_HP3_INJ	А						Обратитесь к руководству Tatuus
PSD_HP4_COILS	А						Обратитесь к руководству Tatuus
PSD_HP5_COILS	А						Обратитесь к руководству Tatuus
PSD_HP6_STARTER2	А						Обратитесь к руководству Tatuus
PSD_HP_Alarm_1_6							Обратитесь к руководству Tatuus
PSD_HP_Fault_1_6							Обратитесь к руководству Tatuus
PSD_HP_Fault_9_10							Обратитесь к руководству Tatuus
PSD_HP_Open_1_6							Обратитесь к руководству Tatuus
PSD_HP_Status1_6							Обратитесь к руководству Tatuus
PSD_IN_Status_1_6							Обратитесь к руководству Tatuus
PSD_LP10_30CAR	А						Обратитесь к руководству Tatuus
PSD_LP1_FED	А						Обратитесь к руководству Tatuus
PSD_LP2_EXTRA	А						Обратитесь к руководству Tatuus
PSD_LP3_ENGINE	А						Обратитесь к руководству Tatuus
PSD_LP4_30CAR	А						Обратитесь к руководству Tatuus
PSD_LP5_AUX	А						Обратитесь к руководству Tatuus
PSD_LP6_AUX2	А						Обратитесь к руководству Tatuus
PSD_LP7_ENGINE	А						Обратитесь к руководству Tatuus
PSD_LP8_ENGINE	А						Обратитесь к руководству Tatuus
PSD_LP9_30CAR	А						Обратитесь к руководству Tatuus
PSD_LP_Alarm1_8							Обратитесь к руководству Tatuus
PSD_LP_Alarm9_10							Обратитесь к руководству Tatuus
PSD_LP_Fault_1_8							Обратитесь к руководству Tatuus
PSD_LP_Open_1_8							Обратитесь к руководству Tatuus
PSD_LP_Open_9_10							Обратитесь к руководству Tatuus
PSD_LP_Status1_8							Обратитесь к руководству Tatuus
PSD_LP_Status9_10							Обратитесь к руководству Tatuus
PSD_LP_Status1_8							Обратитесь к руководству Tatuus
PSD_LP_Status9_10							Обратитесь к руководству Tatuus
PSD_LS_Status_1_2							Обратитесь к руководству Tatuus
PSD_Temp	°C						Обратитесь к руководству Tatuus
PSD_VBATT	V						Обратитесь к руководству Tatuus
Pwd_EnaFct		Функции включения глобального пароля					
pWater	bar	Давление воды				1.5	"Если при работающем двигателе pWater>1,5, проверьте/выполните следующие действия:
1) Целостность контура охлаждения (радиатора, трубок,
крышки резервуара...)
2) Правильность процедуры прокачки
3) Испытание головки блока цилиндров на сжатие"
R_LIGHT_Endplate_Mode		Режим освещения - дождь на торцевой пластине					"0 — модуль выключен
1 — дождь 4 Гц
2 — остановка 10 Гц
3 — ограничитель pit lim 1 Гц
7 — низкая интенсивность 4 Гц
9 — низкая интенсивность 1 Гц (только при положении переключателя Main 1)"
R_LIGHT_Int_Temp	°C	Режим освещения - дождь (внутренняя темпероатура)					Дождь температура освещенности
R_LIGHT_Main_Mode		Основное освещения в режиме дождь					"0 — модуль выключен
1 — дождь 4 Гц
2 — остановка 10 Гц
3 — ограничитель pit lim 1 Гц
7 — низкая интенсивность 4 Гц
9 — низкая интенсивность 1 Гц (только при положении переключателя Main 1)"
R_LIGHT_Phase		Фаза легкого дождя					"0 — основная и хвостовая фазы синхронизированы
1 — основная и хвостовая фазы не синхронизированы"
R_LIGHT_V_Batt	V	Режим дождь напряжение освещения					Источник дождевого света
RainLight_Sts		Состояние дождевого света					
RearTyreCircumf	mm	Окружность задней шины					
RLC_ActivatedOnServer							Устройство, активное во время сеанса
RLC_AIM	m						Точность GPS
RLC_BATT	%						Поддержка SOC батареи
RLC_DeviceID							Идентификатор устройства
RLC_EndplateMode							Сообщение о дождевом свете
RLC_MainMode							Сообщение о дождевом свете
RLC_FlagCode							Код флага.  См. растровое изображение в руководстве Tatuus
RLC_FWVersionMinor							Версия встроенного ПО
RLC_FWVersionMajor							Версия встроенного ПО
RLC_GPSLock							Функционирование GPS
RLC_RainLingthOn							Команда Rain Light от Marshalls
RLC_RF_RSSI	dbm						Мощность радиосигнала
RLC_RLseesBL							Подключение устройства к трековым антеннам
RLC_RLusingRTCM							
RLC_RollingCounter							Индикатор, показывающий, что устройство работает правильно
RLC_RTKFix							
RLC_SATS							Количество подключенных спутников
RLC_VIN	V						Источник питания от аккумулятора
rPedal	%	Значение положения педали	0	100	0	100	Потенциометр педали 0
rPedal1	%	"Педальный трек 1, обработанное значение
(отфильтрованное)"	0	100	0	100	Потенциометр педали 0
rPedal1raw	mv	Исходное значение дорожки педали 1					"Потенциометр педали 0 
0% 1.8 / 2.8 V
100% 3.5 / 4.6 V"
rPedal2	%	"Педальный трек 2, обработанное значение
(отфильтрованное)"	0	100	0	100	Потенциометр педали 0
rPedal2raw	mv	Исходное значение дорожки педали 2					"Потенциометр педали 0
0% 2.2 / 3.2 V
100% 0.4 / 1.5 V"
RPM	об/мин	Частота вращения двигателя	0	6300		7000	"Если частота вращения двигателя превышает 7000 об/мин, необходимо проверить двигатель в
Autotecnica Motori"
rThrottle_1Diag		Диагностика дроссельной заслонки 1					См. Технический бюллетень Sharezone 009-22
rThrottle_2Diag		Диагностика дроссельной заслонки 2					См. Технический бюллетень Sharezone 009-22
rThrottle_Diag							См. Технический бюллетень Sharezone 009-22
SpeedDiag		Диагностика скорости вращения колеса					
StartStopKill		Выключатель отключения					См. Технический бюллетень Sharezone 009-22
SM_Acc_X		"Оборудование для сортировки автомобилей EMM
выводит значения акселерометра по оси X"					
SM_Acc_Y		"Оборудование для сортировки автомобилей EMM
выводит значения акселерометра по оси Y"					
SM_Acc_Z		"Оборудование для сортировки автомобилей EMM
выводит значения акселерометра по оси Z"					
SwDownshiftState		Положение переключателя пониженной передачи					
SM_FreeRunningCounter		Оборудование для сортировки автомобилей EMM					
SM_GPS_Speed	км/ч	Скорость по GPS					
SM_GPS_Status		GPS-диагностика					
SM_GPSLatitude	град	Широта по GPS					
SM_GPSLongitude	град	Долгота по GPS					
SM_Led_Status		"Оборудование для сортировки автомобилей EMM
выводит информацию о флагах на
дисплей."					
SM_Temperature	°C	Оборудование для сортировки автомобилей EMM					
SM_UTCTime	hhmmsscc	Время по Гринвичу					
Switches							
SWP_Ana1	V	Запрос переключения на пониженную передачу			2.8	4	"Для понижения передачи необходимо, чтобы напряжение запроса было >
3200 мВ"
SWP_Ana2	V				2.8	4	"Для подтверждения Upshift требуется напряжение запроса >
3200 мВ"
SwStarterState							См. Технический бюллетень Sharezone 009-22
SWDownshiftState							
SWUpshiftState					0	1	
SwRainLightState							
